"namespace","term","iri","label","label_ja","type","status","replaced_by","use_at_bio_database"
"dwc","SamplingLocationRemarks","http://rs.tdwg.org/dwc/terms/SamplingLocationRemarks","Sampling Location Remarks","","Property","invalid","http://rs.tdwg.org/dwc/terms/locationRemarks","false"
"dwc","samplingProtocol","http://rs.tdwg.org/dwc/terms/samplingProtocol","Sampling Protocol","採集手順","Property","valid","","true"
"dwc","scientificName","http://rs.tdwg.org/dwc/terms/scientificName","Scientific Name","学名","Property","valid","","true"
"dwc","scientificNameAuthorship","http://rs.tdwg.org/dwc/terms/scientificNameAuthorship","Scientific Name Authorship","学名著者表記","Property","valid","","true"
"dwc","scientificNameID","http://rs.tdwg.org/dwc/terms/scientificNameID","Scientific Name ID","学名識別子","Property","valid","","true"
"dwc","scientificNameRank","http://rs.tdwg.org/dwc/terms/scientificNameRank","Scientific Name Rank","","Property","invalid","http://rs.tdwg.org/dwc/terms/taxonRank","false"
"dwc","sequence","http://rs.tdwg.org/dwc/terms/sequence","Sequence","配列","Property","valid","","true"
"dwc","sex","http://rs.tdwg.org/dwc/terms/sex","Sex","性別","Property","valid","","true"
"dwc","siteNumber","http://rs.tdwg.org/dwc/terms/siteNumber","Site Number","地点番号","Property","valid","","true"
"dwc","specificEpithet","http://rs.tdwg.org/dwc/terms/specificEpithet","Specific Epithet","種小名","Property","valid","","true"
"dwc","startDayOfYear","http://rs.tdwg.org/dwc/terms/startDayOfYear","Start Day Of Year","年内開始日","Property","valid","","true"
"dwc","StartTimeOfDay","http://rs.tdwg.org/dwc/terms/StartTimeOfDay","Start Time of Day","","Property","invalid","http://rs.tdwg.org/dwc/terms/eventTime","false"
"dwc","stateProvince","http://rs.tdwg.org/dwc/terms/stateProvince","First Order Division","州・県","Property","valid","","true"
"dwc","subfamily","http://rs.tdwg.org/dwc/terms/subfamily","Subfamily","亜科","Property","valid","","true"
"dwc","subgenus","http://rs.tdwg.org/dwc/terms/subgenus","Subgenus","亜属","Property","valid","","true"
"dwc","subtribe","http://rs.tdwg.org/dwc/terms/subtribe","Subtribe","亜族","Property","valid","","true"
"dwc","superfamily","http://rs.tdwg.org/dwc/terms/superfamily","Superfamily","上科","Property","valid","","true"
"dwc","Taxon","http://rs.tdwg.org/dwc/terms/Taxon","Taxon","分類群","Class","valid","","false"
